시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,기흥구,마북동,A10026882,용인마북신원아침도시,아파트,경기도 용인기흥구 마북동 654 용인마북신원아침도시,경기도 용인시 기흥구 마북로247번길 3,20170731,3,180,186.0,0.0,186.0
용인시,수지구,죽전동,A44897120,새터마을죽전힐스테이트,아파트,경기도 용인수지구 죽전동 1165 새터마을죽전힐스테이트,경기도 용인시 수지구 현암로125번길 11,20040629,23,1998,2032.0,422.0,1610.0
용인시,수지구,죽전동,A44879606,죽전중앙하이츠,아파트,경기도 용인수지구 죽전동 1112 죽전중앙하이츠,경기도 용인시 수지구 현암로63번길 2,20011110,5,271,635.0,168.0,467.0
용인시,기흥구,언남동,A44670301,스파팰리스리가,아파트,경기도 용인기흥구 언남동 503 스파팰리스리가,경기도 용인시 기흥구 언남로 5,20130208,8,533,730.0,44.0,686.0
용인시,기흥구,언남동,A44657104,동일하이빌2차,아파트,경기도 용인기흥구 언남동 496 동일하이빌2차,경기도 용인시 기흥구 언남로 15,20020801,12,837,1495.0,0.0,1495.0
용인시,수지구,죽전동,A44875510,수지벽산2단지,아파트,경기도 용인수지구 죽전동 832-1 수지벽산2단지,경기도 용인시 수지구 용구대로2771번길 66,19970902,10,684,601.0,282.0,319.0
용인시,수지구,죽전동,A44875509,벽산타운1단지,아파트,경기도 용인수지구 죽전동 832 벽산타운1단지,경기도 용인시 수지구 용구대로2771번길 68,19970927,9,612,508.0,164.0,344.0
용인시,수지구,죽전동,A44854601,창죽벽산첼시빌,아파트,경기도 용인수지구 죽전동 1111 창죽벽산첼시빌,경기도 용인시 수지구 용구대로2771번길 88,20010929,2,179,364.0,26.0,338.0
용인시,기흥구,구갈동,A44659306,구갈가현마을신안,아파트,경기도 용인기흥구 구갈동 344 구갈가현마을신안,경기도 용인시 기흥구 관곡로 53,20011217,5,364,599.0,235.0,364.0
용인시,기흥구,구갈동,A44673613,구갈한양,아파트,경기도 용인기흥구 구갈동 396 구갈한양,경기도 용인시 기흥구 구갈로28번길 21-21,19931224,10,624,591.0,325.0,266.0
용인시,기흥구,구갈동,A44673303,기흥동부아파트,아파트,경기도 용인기흥구 구갈동 384-1 기흥동부아파트,경기도 용인시 기흥구 구갈로28번길 32,19921201,3,200,185.0,185.0,0.0
용인시,기흥구,중동,A44671816,초당마을주공3단지,아파트,경기도 용인기흥구 중동 1041 초당마을주공3단지,경기도 용인시 기흥구 동백중앙로 41,20060427,9,816,822.0,451.0,371.0
용인시,기흥구,중동,A44671805,초당마을현진에버빌,아파트,경기도 용인기흥구 중동 1045 초당마을현진에버빌,경기도 용인시 기흥구 동백중앙로 73,20060227,7,320,560.0,162.0,398.0
