시구;설치장소;주소;급속충전기(대);완속충전기(대);지원차종
경기도;동천마을 현대2차홈타운;경기도 용인시 수지구 동천동 862;0 ;4 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;래미안 수지 이스트파크;경기도 용인시 수지구 풍덕천동 1198;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;래미안이스트팰리스3단지아파트;경기도 용인시 수지구 동천동 932;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;만현마을 롯데캐슬아파트;경기도 용인시 수지구 상현동 859;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;만현마을 쌍용3차;경기도 용인시 수지구 상현동 852;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;버들치경남1차;경기도 용인시 수지구 성복동 753;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;상현2동 행정복지센터;경기도 용인시 수지구 상현동 1199;2 ;0 ;SM3 Z.E,테슬라
경기도;상현도서관;경기도 용인시 수지구 상현동 1129-2;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;상현마을성원상떼빌3차;경기도 용인시 수지구 상현동 866;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;상현엘지자이아파트;경기도 용인시 수지구 상현동 869;0 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;새터마을푸르지오;경기도 용인시 수지구 죽전동 1198;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;서원마을금호베스트빌5단지아파트;경기도 용인시 수지구 상현동 867;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;성동마을LG빌리지3차;경기도 용인시 수지구 성복동 726;1 ;4 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;성복자이1차아파트;경기도 용인시 수지구 성복동 758;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;성복힐스테이트1차;경기도 용인시 수지구 성복동 771;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;수지센트럴아이파크;경기도 용인시 수지구 상현동 842;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;수지엘지2차아파트;경기도 용인시 수지구 성복동 90;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신봉동부센트레빌6단지;경기도 용인시 수지구 신봉동 946;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신봉엘지자이1차;경기도 용인시 수지구 신봉동 873;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;신세계 경기점;경기도 용인시 수지구 죽전동 1285;2 ;0 ;SM3 Z.E,테슬라
경기도;신정마을성지아파트;경기도 용인시 수지구 풍덕천동 1021;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;심곡마을광교힐스테이트;경기도 용인시 수지구 상현동 1099;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;아르피아주차장;경기도 용인시 수지구 죽전동 1003-43;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;엘지빌리지 5차 A단지;경기도 용인시 수지구 신봉동 870;1 ;3 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;죽전 동성1차;경기도 용인시 수지구 용구대로 2742 (죽전동, 동성1차아파트);0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;죽전1동 행정복지센터;경기도 용인시 수지구 죽전동 1070-9;1 ;0 ;SM3 Z.E,테슬라
경기도;푸른마을푸르지오아파트;경기도 용인시 수지구 성복동 741;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;현대프레미오아파트;경기도 용인시 수지구 상현동 168-1;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;현대홈타운4차4단지;경기도 용인시 수지구 죽전동 1303;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;금광베네스타;경기도 용인시 처인구 이동읍 천리 1134;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;기후변화체험센터;경기도 용인시 처인구 남동 282;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;남사 현대글로비스(전용);경기도 용인시 처인구 남사읍 북리 54-10;9 ;0 ; 
경기도;남사 현대리바트(공용);경기도 용인시 처인구 남사읍 북리 54-10;2 ;0 ;SM3 Z.E,테슬라
