,주소,y,x
153,경기 용인시 수지구 대지로15번길 60,37.3330204023368,127.11474161271
154,경기 용인시 기흥구 새천년로16번길 16,37.2892514676663,127.109815597556
155,경기 용인시 기흥구 서천동로21번길 5,37.2391393204793,127.076329046868
156,경기 용인시 수지구 현암로 3,37.3325339272573,127.110200608355
157,경기 용인시 수지구 광교마을로 2,37.2985835294125,127.067432179743
158,경기 용인시 수지구 광교마을로 11,37.298078336053,127.063489837285
159,경기 용인시 수지구 대지로 64,37.32828727849,127.116224131621
160,경기 용인시 수지구 대지로 77,37.3300300919113,127.117644579167
161,경기 용인시 수지구 풍덕천로22번길 67,37.3141215879111,127.082291135141
162,경기 용인시 수지구 풍덕천로30번길 20,37.316426291098,127.087268518805
163,경기 용인시 수지구 상현로 2,37.3017233813448,127.073033189992
164,경기 용인시 수지구 상현로 27,37.3034007906717,127.076533924181
165,경기 용인시 수지구 상현로 30-6,37.3018801976153,127.077234515132
166,경기 용인시 수지구 상현로 30-9,37.3015146416015,127.07874712941
167,경기 용인시 수지구 상현로 30-10,37.3005381667832,127.077000005339
168,경기 용인시 수지구 상현로 58,37.3027759618892,127.080547389653
169,경기 용인시 수지구 상현로 59,37.3054508703928,127.079072481359
170,경기 용인시 수지구 상현로 67-12,37.3055751000214,127.080576318648
171,경기 용인시 수지구 상현로 88,37.3032525044105,127.083431033245
172,경기 용인시 수지구 상현로 100,37.3045167299046,127.084472410819
173,경기 용인시 수지구 상현로 101,37.307620805959,127.083316064975
174,경기 용인시 수지구 상현로 119-6,37.3095322121113,127.083896631359
175,경기 용인시 수지구 동천로63번길 10,37.3384624431927,127.097356569169
176,경기 용인시 수지구 동천로135번길 21,37.3340292884234,127.087424512062
177,경기 용인시 기흥구 관곡로 16,37.2811569983481,127.106551123415
178,경기 용인시 수지구 대지로 127,37.3306508998433,127.122530071092
179,경기 용인시 수지구 대지로 139,37.3308207243492,127.12572686296
180,경기 용인시 수지구 동천로 18,37.3416386427247,127.099976006846
181,경기 용인시 수지구 동천로 53,37.3400462851402,127.096904395154
182,경기 용인시 수지구 동천로 64,37.34097274539,127.098298727226
183,경기 용인시 수지구 동천로 93,37.3384365703794,127.093917526737
184,경기 용인시 기흥구 마북로247번길 3,37.3092277880156,127.130507821299
185,경기 용인시 수지구 현암로125번길 11,37.3336370845464,127.120082011998
186,경기 용인시 수지구 현암로63번길 2,37.3320946107826,127.117023130661
187,경기 용인시 기흥구 언남로 5,37.2929722800738,127.123979272219
188,경기 용인시 기흥구 언남로 15,37.2939727333271,127.127511504781
189,경기 용인시 수지구 용구대로2771번길 66,37.3351174990364,127.105404087376
190,경기 용인시 수지구 용구대로2771번길 68,37.3364136934898,127.106842175165
191,경기 용인시 수지구 용구대로2771번길 88,37.3374920497986,127.105331686143
192,경기 용인시 기흥구 관곡로 53,37.2835576353296,127.11230303614
193,경기 용인시 기흥구 구갈로28번길 21-21,37.2794617435937,127.113477309335
194,경기 용인시 기흥구 구갈로28번길 32,37.2764585775749,127.115250598054
195,경기 용인시 기흥구 동백중앙로 41,37.2599992429272,127.162705131776
196,경기 용인시 기흥구 동백중앙로 73,37.2625313576857,127.159855265494
197,경기 용인시 기흥구 동백중앙로 312,37.2795698792809,127.158221445654
198,경기 용인시 기흥구 동백평촌로 15,37.2848275447757,127.155420952554
199,경기 용인시 기흥구 동백평촌로 39,37.2817568676234,127.154961672508
200,경기 용인시 기흥구 동백평촌로 70,37.2793964829638,127.155734867915
201,경기 용인시 기흥구 흥덕4로30번길 11,37.2762630808747,127.091599921079
202,경기 용인시 기흥구 기흥로38번길 34,37.2783686804919,127.118005460906
203,경기 용인시 기흥구 구갈로 115-16,37.2855318102771,127.10902679406
204,경기 용인시 기흥구 구갈로 16,37.2764905526883,127.112547023281
205,경기 용인시 기흥구 구교동로 17,37.3067668017301,127.10676885593
206,경기 용인시 기흥구 이현로30번길 7,37.3091076737644,127.098150516867
207,경기 용인시 기흥구 구교동로118번길 7,37.302936928161,127.118260176148
208,경기 용인시 기흥구 중부대로55번길 11,37.2681737532139,127.076022823788
209,경기 용인시 기흥구 구성로39번길 13,37.2964400293286,127.113073665203
210,경기 용인시 기흥구 구성로53번길 20,37.2967224748154,127.115990695904
211,경기 용인시 기흥구 진산로 140,37.3216459905545,127.101697126542
212,경기 용인시 수지구 고기로45번길 58,37.3394355971719,127.092591109409
213,경기 용인시 수지구 문정로 55,37.3257210533848,127.092174417062
214,경기 용인시 수지구 심곡로 16,37.3077681224143,127.078577793587
215,경기 용인시 기흥구 중부대로 735,37.2625014944037,127.141098726133
216,경기 용인시 기흥구 마북로 186,37.3054590259479,127.126780680363
217,경기 용인시 기흥구 마북로 210,37.3070090109714,127.128263217012
218,경기 용인시 기흥구 신정로41번길 31,37.2764366237461,127.100799752645
219,경기 용인시 수지구 성복1로 80,37.3156726620216,127.071267962717
220,경기 용인시 수지구 성복1로 91,37.3147348895475,127.069715242799
221,경기 용인시 수지구 성복1로 107,37.3147275407863,127.065383727095
222,경기 용인시 기흥구 동백8로 89,37.2853796792812,127.161230518699
223,경기 용인시 기흥구 동백8로 90,37.2842166067514,127.160111317632
224,경기 용인시 기흥구 동백8로 103,37.2850106257459,127.163846827571
225,경기 용인시 기흥구 동백8로 126,37.2822444950203,127.164066243807
226,경기 용인시 수지구 정든로 22,37.3276836869479,127.115846685568
227,경기 용인시 수지구 이현로 125,37.3128965349075,127.090448351574
228,경기 용인시 수지구 죽전로 87,37.3226931003233,127.118073716176
229,경기 용인시 수지구 죽전로 111,37.3237783132207,127.119232659534
230,경기 용인시 수지구 죽전로 116,37.3229002059675,127.121847765065
231,경기 용인시 수지구 죽전로 121,37.3236619856559,127.12030510085
232,경기 용인시 수지구 디지털벨리로 5,37.3280362615077,127.131856973928
233,경기 용인시 기흥구 금화로11번길 9,37.262168898647,127.105366375032
234,경기 용인시 기흥구 금화로11번길 10,37.2624627769001,127.107219332889
235,경기 용인시 수지구 성복1로 157,37.3159379794128,127.06274043236
236,경기 용인시 수지구 성복1로 222,37.3221480267536,127.061648169477
237,경기 용인시 수지구 성복2로 86,37.31695333469,127.07528876261
238,경기 용인시 기흥구 동백8로131번길 9,37.2828580305422,127.164442515197
239,경기 용인시 기흥구 동백8로131번길 20,37.2833618682198,127.16652141053
240,경기 용인시 수지구 성복1로163번길 11,37.3159552995459,127.060977964558
241,경기 용인시 수지구 성복1로164번길 13,37.3183227202926,127.064298835594
242,경기 용인시 수지구 성복1로164번길 20,37.3176034747725,127.064868055335
243,경기 용인시 수지구 죽전로 143,37.3248994660764,127.12396897438
244,경기 용인시 수지구 죽전로 244,37.3324293267349,127.130723409382
245,경기 용인시 수지구 죽전로 267,37.334953392727,127.126066294742
246,경기 용인시 수지구 대지로 19,37.327872639172,127.111813264774
247,경기 용인시 수지구 대지로 27,37.3281317963022,127.113118995999
248,경기 용인시 기흥구 동백죽전대로 283,37.2633044322536,127.153954452763
249,경기 용인시 수지구 디지털벨리로 21,37.329872375806,127.132348302732
250,경기 용인시 기흥구 서그내로16번길 14,37.2456694256064,127.072374832462
251,경기 용인시 기흥구 서그내로16번길 30,37.2454907178065,127.070332164053
252,경기 용인시 수지구 현암로 54,37.3312019365771,127.114653204506
253,경기 용인시 수지구 광교마을로 62,37.2980951617498,127.071136107425
254,경기 용인시 수지구 광교마을로 90,37.2952051161118,127.075593136434
255,경기 용인시 기흥구 동탄기흥로 864,37.235891750118,127.102908340046
256,경기 용인시 수지구 신봉3로11번길 10-7,37.3260921140314,127.067594630185
257,경기 용인시 수지구 신봉3로12번길 9,37.3302199204965,127.064862201305
258,경기 용인시 수지구 신수로683번길 19,37.329987610414,127.099313461978
259,경기 용인시 수지구 신수로783번길 50,37.3425443581459,127.098795974794
260,경기 용인시 기흥구 공세로 226,37.2400290211559,127.102562903765
261,경기 용인시 기흥구 공세로 76,37.2314220538897,127.109696063763
262,경기 용인시 기흥구 마북로154번길 16,37.3024827565463,127.125738100181
263,경기 용인시 수지구 수풍로23번길 25,37.3270146379688,127.086358717652
264,경기 용인시 수지구 신봉1로172번길 8,37.3287865414389,127.069648225532
265,경기 용인시 기흥구 서그내로 31,37.2451107968065,127.075235718937
266,경기 용인시 수지구 만현로 25,37.3112178333858,127.090073064781
267,경기 용인시 기흥구 중부대로746번길 20,37.2606192382548,127.136781689486
268,경기 용인시 기흥구 중부대로746번길 21,37.2604849291054,127.138070181087
269,경기 용인시 기흥구 금화로58번길 10,37.2621614363767,127.109518545757
