,시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,동수,세대수,총주차대수,지상주차대수,지하주차대수,y,x
18,용인시,처인구,삼가동,A44980406,용인행정타운두산위브1단지,아파트,경기도 용인처인구 삼가동 562 용인행정타운두산위브1단지,경기도 용인시 처인구 지삼로590번길 24,3,199,334,8,326,37.2385011475596,127.164732663858
19,용인시,처인구,삼가동,A44980407,용인행정타운두산위브3단지,아파트,경기도 용인처인구 삼가동 564 용인행정타운두산위브3단지,경기도 용인시 처인구 지삼로590번길 29,7,470,709,34,675,37.23981823994,127.169118531027
20,용인시,처인구,김량장동,A44902002,삼환,아파트,경기도 용인처인구 김량장동 502-2 삼환,경기도 용인시 처인구 중부대로1388번길 6-4,2,180,180,113,67,37.2331357792242,127.197871580251
21,용인시,처인구,김량장동,A44970501,용인김량장주공2단지,아파트,경기도 용인처인구 김량장동 502-1 용인김량장주공2단지,경기도 용인시 처인구 중부대로1388번길 6-14,6,495,505,192,313,37.2336070084302,127.196040016323
22,용인시,처인구,김량장동,A44992701,신우,아파트,경기도 용인처인구 김량장동 503-3 신우,경기도 용인시 처인구 중부대로1388번길 12,3,176,258,132,126,37.2326153723789,127.197687551642
23,용인시,처인구,삼가동,A44980404,행정타운늘푸른오스카빌,아파트,경기도 용인처인구 삼가동 550 행정타운늘푸른오스카빌,경기도 용인시 처인구 중부대로1158번길 12,9,675,817,228,589,37.2376115088833,127.170550930152
24,용인시,처인구,천리,A44983602,샘골마을신미주2단지,아파트,경기도 용인처인구 이동읍 천리 1124 샘골마을신미주2단지,경기도 용인시 처인구 백옥대로587번길 7,3,234,241,93,148,37.1893503511482,127.204895419447
25,용인시,처인구,왕산리,A44985101,모현KCC스위첸,아파트,경기도 용인처인구 모현읍 왕산리 948 모현KCC스위첸,경기도 용인시 처인구 외대로54번길 12,6,308,387,8,379,37.3343467144271,127.254026796604
26,용인시,처인구,천리,A44983604,샘골마을신미주1단지,아파트,경기도 용인처인구 이동읍 천리 1119 샘골마을신미주1단지,경기도 용인시 처인구 백옥대로621번길 11,12,800,804,224,580,37.1921141579213,127.204993440662
27,용인시,처인구,송전리,A44983101,송전마을세광리치타워,아파트,경기도 용인처인구 이동읍 송전리 1227 송전마을세광리치타워,경기도 용인시 처인구 경기동로705번길 28,13,782,997,112,885,37.1391735837303,127.201179688583
28,용인시,처인구,삼가동,A44971901,용인삼가풍림,아파트,경기도 용인처인구 삼가동 117 용인삼가풍림,경기도 용인시 처인구 금학로1번길 9,5,377,399,95,304,37.2452786266036,127.167046540248
29,용인시,처인구,고림동,A44978101,이삭베스트,아파트,경기도 용인처인구 고림동 411-1 이삭베스트,경기도 용인시 처인구 경안천로256번길 47-14,4,300,317,142,175,37.2526122273862,127.227551825988
30,용인시,처인구,고림동,A44978806,임원마을영화1차,아파트,경기도 용인처인구 고림동 996 임원마을영화1차,경기도 용인시 처인구 경안천로256번길 47-16,6,513,648,380,268,37.2534781668999,127.226827499995
31,용인시,처인구,완장리,A10026198,e편한세상 용인한숲시티 5단지,아파트,경기도 용인처인구 남사읍 완장리 681 e편한세상 용인한숲시티 5단지,경기도 용인시 처인구 한숲로 83,21,2336,2732,400,2332,37.1581701311615,127.170126776434
32,용인시,처인구,완장리,A10026178,e편한세상 용인한숲시티6단지,아파트,경기도 용인처인구 남사읍 완장리 954 e편한세상 용인한숲시티6단지,경기도 용인시 처인구 한숲로 84,15,1784,2101,298,1803,37.1561090694356,127.173656345397
33,용인시,처인구,완장리,A10026208,이편한세상 용인한숲시티 3단지,아파트,경기도 용인처인구 남사읍 완장리 652-1 이편한세상 용인한숲시티 3단지,경기도 용인시 처인구 한숲로 123,13,1449,1682,271,1411,37.1601463360453,127.172057132033
34,용인시,처인구,완장리,A10026189,e편한세상용인한숲시티4단지,아파트,경기도 용인처인구 남사읍 완장리 652-1 e편한세상용인한숲시티4단지,경기도 용인시 처인구 한숲로 124,6,710,834,133,701,37.1591118282048,127.175501302175
35,용인시,처인구,완장리,A10026202,e편한세상 용인한숲시티 2단지,아파트,경기도 용인처인구 남사읍 완장리 652-1 e편한세상 용인한숲시티 2단지,경기도 용인시 처인구 한숲로 137,6,446,524,37,487,37.161355406237,127.173948565082
36,용인시,처인구,고림동,A44974208,인정피렌체빌리지1차,아파트,경기도 용인처인구 고림동 264-8 인정피렌체빌리지1차,경기도 용인시 처인구 한터로152번길 45,10,639,649,214,435,37.2466295058458,127.230800386786
37,용인시,처인구,고림동,A44974307,예진마을3차,아파트,경기도 용인처인구 고림동 997 예진마을3차,경기도 용인시 처인구 한터로152번길 62,10,516,638,214,424,37.2445675069567,127.23220969308
38,용인시,처인구,고림동,A44980703,예원마을코아루,아파트,경기도 용인처인구 고림동 1002 예원마을코아루,경기도 용인시 처인구 한터로275번길 40,7,408,493,162,331,37.2578531115269,127.237250220806
39,용인시,처인구,유방동,A44993401,용인성웅,아파트,경기도 용인처인구 유방동 181 용인성웅,경기도 용인시 처인구 영문로29번길 17,3,271,252,172,80,37.2669935846693,127.207068856228
40,용인시,처인구,일산리,A44985502,효천마을신안인스빌,아파트,경기도 용인처인구 모현읍 일산리 669 효천마을신안인스빌,경기도 용인시 처인구 문현로 326,12,862,1042,472,570,37.3366524310217,127.243929947043
41,용인시,처인구,마평동,A44978703,마평우성,아파트,경기도 용인처인구 마평동 650-1 마평우성,경기도 용인시 처인구 금령로173번길 5,3,358,324,149,175,37.2351635559951,127.215343222091
42,용인시,처인구,마평동,A44978701,용인마평두보,아파트,경기도 용인처인구 마평동 923 용인마평두보,경기도 용인시 처인구 금령로173번길 14,2,248,254,134,120,37.2354292806482,127.216919538729
43,용인시,처인구,역북동,A10026630,우미 린 센트럴파크 관리사무소,아파트,경기도 용인처인구 역북동 736 우미 린 센트럴파크 관리사무소,경기도 용인시 처인구 명지로16번길 25,10,1260,1462,0,1462,37.2332338175126,127.185165049744
44,용인시,처인구,역북동,A10026217,용인 명지대역 동원로얄듀크아파트,아파트,경기도 용인처인구 역북동 734 용인 명지대역 동원로얄듀크아파트,경기도 용인시 처인구 명지로16번길 26,10,842,959,24,935,37.2356068835221,127.185291322676
45,용인시,처인구,천리,A44983301,동아,아파트,경기도 용인처인구 이동읍 천리 118-1 동아,경기도 용인시 처인구 이원로 22,1,202,132,67,65,37.1893860997942,127.209494314665
46,용인시,처인구,삼계리,A44981402,용인수목원우림필유아파트,아파트,경기도 용인처인구 포곡읍 삼계리 672 용인수목원우림필유아파트,경기도 용인시 처인구 백옥대로1898번길 34,5,346,387,67,320,37.2945130429444,127.238272172635
47,용인시,처인구,김량장동,A10026022,웰메이드시티337,도시형 생활주택(주상복합),경기도 용인처인구 김량장동 84-3 웰메이드시티337,경기도 용인시 처인구 금령로106번길 14-8,1,299,81,0,81,37.2345837683508,127.207243318428
48,용인시,처인구,김량장동,A44970502,금호어울림아파트,아파트,경기도 용인처인구 김량장동 526 금호어울림아파트,경기도 용인시 처인구 금령로13번길 13,7,484,554,0,554,37.2366019643714,127.197790934347
49,용인시,처인구,김량장동,A44970904,김량장동현대아파트,아파트,경기도 용인처인구 김량장동 4-2 김량장동현대아파트,경기도 용인시 처인구 백옥대로1068번길 12,7,755,490,204,286,37.2292990888889,127.211752887497
50,용인시,처인구,고림동,A44901004,예진마을2차,아파트,경기도 용인처인구 고림동 995 예진마을2차,경기도 용인시 처인구 한터로152번길 15,8,416,515,205,310,37.2471012084189,127.229916936429
51,용인시,처인구,역북동,A10026640,역북지웰 푸르지오,아파트,경기도 용인처인구 역북동 809 역북지웰 푸르지오,경기도 용인시 처인구 명지로40번길 35-16,11,1259,1463,8,1455,37.2306890205109,127.182243414418
52,용인시,처인구,역북동,A10026765,용인역북골드클래스아파트,아파트,경기도 용인처인구 역북동 808 용인역북골드클래스아파트,경기도 용인시 처인구 명지로40번길 35-29,6,623,753,0,753,37.2308219194505,127.184400660885
53,용인시,기흥구,동백동,A10024231,용인동백두산위브더제니스,아파트,경기도 용인기흥구 동백동 694 용인동백두산위브더제니스,경기도 용인시 기흥구 동백죽전대로 507,10,1187,1434,0,1434,37.2830246609485,127.150608535392
54,용인시,기흥구,신갈동,A10025253,이안 두드림기흥역,주상복합,경기도 용인기흥구 신갈동 68-6 이안 두드림기흥역,경기도 용인시 기흥구 중부대로 376,1,297,235,0,235,37.2714574421973,127.108875146108
55,용인시,수지구,상현동,A10025299,더샵수지포레,아파트,경기도 용인수지구 상현동 54-7 더샵수지포레,경기도 용인시 수지구 만현로67번길 20,6,479,597,5,592,37.3082964964469,127.088522841076
56,용인시,기흥구,구갈동,A44673512,구갈한성1차,아파트,경기도 용인기흥구 구갈동 380 구갈한성1차,경기도 용인시 기흥구 기흥로 29,12,570,450,450,0,37.2791830690322,127.114302620407
57,용인시,수지구,풍덕천동,A10026839,e편한세상 수지아파트,아파트,경기도 용인수지구 풍덕천동 1209 e편한세상 수지아파트,경기도 용인시 수지구 포은대로313번길 7-10,10,1237,1388,96,1292,37.3166948096886,127.083890038258
58,용인시,기흥구,구갈동,A10026215,기흥역센트럴푸르지오,아파트,경기도 용인기흥구 구갈동 662 기흥역센트럴푸르지오,경기도 용인시 기흥구 기흥역로58번길 10,6,1316,1676,0,1676,37.2739931969359,127.119029735417
59,용인시,기흥구,구갈동,A10026005,기흥역파크푸르지오아파트,아파트,경기도 용인기흥구 구갈동 663 기흥역파크푸르지오아파트,경기도 용인시 기흥구 기흥역로58번길 56,5,769,926,135,791,37.2718101606869,127.120450974178
60,용인시,기흥구,구갈동,A10025933,기흥역 더샵 아파트,아파트,경기도 용인기흥구 구갈동 234-5 기흥역 더샵 아파트,경기도 용인시 기흥구 기흥역로58번길 78,6,1219,1587,0,1587,37.2734741309411,127.118016537449
61,용인시,수지구,풍덕천동,A44898902,신정마을극동임광,아파트,경기도 용인수지구 풍덕천동 1018 신정마을극동임광,경기도 용인시 수지구 정평로 73,6,424,721,580,141,37.3225443124245,127.089196068087
62,용인시,수지구,풍덕천동,A44875603,신정마을현대프라임,아파트,경기도 용인수지구 풍덕천동 1014 신정마을현대프라임,경기도 용인시 수지구 정평로 89,8,462,801,299,502,37.3234189743597,127.089396011329
63,용인시,수지구,풍덕천동,A44876702,수지한국,아파트,경기도 용인수지구 풍덕천동 699 수지한국,경기도 용인시 수지구 정평로 116,5,416,316,216,100,37.3236363477992,127.093535019528
64,용인시,수지구,죽전동,A44875411,현암마을동성2차,아파트,경기도 용인수지구 죽전동 1003-8 현암마을동성2차,경기도 용인시 수지구 용구대로 2720,12,838,883,360,523,37.3289448201755,127.109356906504
65,용인시,수지구,죽전동,A44816015,죽전동성1차,아파트,경기도 용인수지구 죽전동 501 죽전동성1차,경기도 용인시 수지구 용구대로 2742,9,684,683,343,340,37.3299184981879,127.110109228916
66,용인시,기흥구,마북동,A44655712,삼성래미안1차,아파트,경기도 용인기흥구 마북동 629 삼성래미안1차,경기도 용인시 기흥구 용구대로2394번길 27,17,1282,2135,310,1825,37.300391782518,127.113463292513
67,용인시,수지구,상현동,A44851802,상현현대성우2차,아파트,경기도 용인수지구 상현동 825 상현현대성우2차,경기도 용인시 수지구 상현로11번길 26,4,198,386,17,369,37.3042019528875,127.07811049245
68,용인시,수지구,상현동,A44851501,금호베스트빌3단지,아파트,경기도 용인수지구 상현동 837 금호베스트빌3단지,경기도 용인시 수지구 상현로42번길 40,3,159,276,15,261,37.3027374662266,127.082410810687
69,용인시,수지구,상현동,A44851509,상현마을동일스위트,아파트,경기도 용인수지구 상현동 838 상현마을동일스위트,경기도 용인시 수지구 상현로42번길 46,5,312,475,70,405,37.3043997658393,127.081922638701
70,용인시,기흥구,보정동,A44691304,죽전자이2차,주상복합,경기도 용인기흥구 보정동 1291 죽전자이2차,경기도 용인시 기흥구 용구대로2469번길 20,1,275,435,55,380,37.3084578364206,127.106199114923
71,용인시,수지구,상현동,A44813002,서원마을현대홈타운,아파트,경기도 용인수지구 상현동 85-6 서원마을현대홈타운,경기도 용인시 수지구 포은대로 231,6,462,556,235,321,37.3092751497397,127.080916308005
72,용인시,수지구,상현동,A44874606,성복역리버파크,아파트,경기도 용인수지구 상현동 1 성복역리버파크,경기도 용인시 수지구 포은대로 298,4,702,532,353,179,37.3134183637284,127.086908225259
73,용인시,수지구,죽전동,A44816001,죽전7차현대홈타운2단지,아파트,경기도 용인수지구 죽전동 1152 죽전7차현대홈타운2단지,경기도 용인시 수지구 탄천상로 6,6,194,198,49,149,37.3323916559125,127.112212186294
74,용인시,수지구,죽전동,A44876902,현인마을대림이편한세상2차,아파트,경기도 용인수지구 죽전동 1153 현인마을대림이편한세상2차,경기도 용인시 수지구 탄천상로 29,5,206,227,75,152,37.3342417333537,127.110980687671
75,용인시,수지구,죽전동,A44876904,현인마을대림이편한세상3차,아파트,경기도 용인수지구 죽전동 1154 현인마을대림이편한세상3차,경기도 용인시 수지구 탄천상로 30,5,239,263,100,163,37.3343901562391,127.112388031093
76,용인시,수지구,동천동,A44851003,원천마을푸르지오,아파트,경기도 용인수지구 동천동 910 원천마을푸르지오,경기도 용인시 수지구 고기로 3,3,190,191,59,132,37.3423585091681,127.10120807185
77,용인시,수지구,동천동,A44812007,행림마을진로,아파트,경기도 용인수지구 동천동 177-12 행림마을진로,경기도 용인시 수지구 고기로 11,3,269,272,51,221,37.3425455170361,127.099990525707
78,용인시,수지구,동천동,A10026065,동천자이아파트,아파트,경기도 용인수지구 동천동  동천자이아파트,경기도 용인시 수지구 고기로 89,10,1437,1847,0,1847,37.3447488936611,127.091532269053
79,용인시,수지구,상현동,A44851611,진산마을성원상떼빌아파트,아파트,경기도 용인수지구 상현동 30 진산마을성원상떼빌아파트,경기도 용인시 수지구 진산로 24,19,1744,1741,960,781,37.3141394988568,127.092792577773
80,용인시,수지구,신봉동,A10026986,광교산한양수자인더킨포크,연립주택,경기도 용인수지구 신봉동 1024 광교산한양수자인더킨포크,경기도 용인시 수지구 태봉로 17,30,294,345,52,293,37.3346648490018,127.057444452313
81,용인시,수지구,풍덕천동,A44899106,수지진흥아파트,아파트,경기도 용인수지구 풍덕천동 1027 수지진흥아파트,경기도 용인시 수지구 풍덕천로 19,6,414,448,228,220,37.3193195915051,127.085303522814
82,용인시,수지구,풍덕천동,A44899101,신정마을6단지상록,아파트,경기도 용인수지구 풍덕천동 1028 신정마을6단지상록,경기도 용인시 수지구 풍덕천로 33,5,393,404,222,182,37.3189183191966,127.086478742702
83,용인시,수지구,풍덕천동,A44899209,현대성우,아파트,경기도 용인수지구 풍덕천동 1112 현대성우,경기도 용인시 수지구 풍덕천로 52,13,1239,1296,425,871,37.3175763161289,127.090813615263
84,용인시,수지구,풍덕천동,A44899006,신정마을7단지 상록아파트,아파트,경기도 용인수지구 풍덕천동 1060 신정마을7단지 상록아파트,경기도 용인시 수지구 풍덕천로 75,7,670,632,409,223,37.3205039309399,127.09049097484
85,용인시,수지구,풍덕천동,A44899307,신정마을9단지,아파트,경기도 용인수지구 풍덕천동 1104 신정마을9단지,경기도 용인시 수지구 풍덕천로 76,9,812,814,278,536,37.3199747278095,127.09087798744
86,용인시,기흥구,중동,A44675112,초당마을삼부르네상스아파트,아파트,경기도 용인기흥구 중동 1046 초당마을삼부르네상스아파트,경기도 용인시 기흥구 동백1로 9,4,289,320,88,232,37.2647476191309,127.15759236242
87,용인시,기흥구,중동,A44675304,초당마을 삼부르네상스,아파트,경기도 용인기흥구 중동 1046 초당마을 삼부르네상스,경기도 용인시 기흥구 동백1로 12,4,279,308,87,221,37.2633050050851,127.158908351542
88,용인시,수지구,풍덕천동,A44898708,신정마을주공1단지아파트,아파트,경기도 용인수지구 풍덕천동 1065 신정마을주공1단지아파트,경기도 용인시 수지구 풍덕천로 91,12,1044,1045,372,673,37.3210632746953,127.091568069816
89,용인시,기흥구,신갈동,A44696202,신갈신미주,아파트,경기도 용인기흥구 신갈동 14-4 신갈신미주,경기도 용인시 기흥구 신갈로138번길 12,2,247,149,77,72,37.2786181570696,127.107329969039
90,용인시,수지구,풍덕천동,A44899105,수지에듀파크,아파트,경기도 용인수지구 풍덕천동 504-10 수지에듀파크,경기도 용인시 수지구 정평로13번길 20,1,279,283,208,75,37.3172407435084,127.087013031429
91,용인시,기흥구,보정동,A44697610,동원로얄듀크,아파트,경기도 용인기흥구 보정동 1271 동원로얄듀크,경기도 용인시 기흥구 죽현로 12,13,706,927,207,720,37.3193086078075,127.111225429388
92,용인시,기흥구,중동,A44691609,어은목마을 벽산블루밍,아파트,경기도 용인기흥구 중동 1051 어은목마을 벽산블루밍,경기도 용인시 기흥구 동백2로 11,9,533,773,36,737,37.2689745618693,127.155014055896
93,용인시,기흥구,중동,A44691608,동백역 경남아너스빌,아파트,경기도 용인기흥구 중동 1050 동백역 경남아너스빌,경기도 용인시 기흥구 동백2로 12,9,592,650,80,570,37.2662456777001,127.156651069468
94,용인시,기흥구,중동,A44671707,대원칸타빌,아파트,경기도 용인기흥구 중동 958 대원칸타빌,경기도 용인시 기흥구 동백2로 37,6,432,835,196,639,37.2697295041552,127.15709471939
95,용인시,기흥구,보라동,A44690404,한보라 에듀포레,아파트,경기도 용인기흥구 보라동 617 한보라 에듀포레,경기도 용인시 기흥구 한보라1로43번길 22,7,446,497,221,276,37.2491293427057,127.110722511198
96,용인시,기흥구,보라동,A44690405,한보라마을휴먼시아4단지,아파트,경기도 용인기흥구 보라동 606 한보라마을휴먼시아4단지,경기도 용인시 기흥구 한보라1로43번길 23,8,581,530,161,369,37.2502657928233,127.110761595554
97,용인시,기흥구,보라동,A44673703,삼성래미안,아파트,경기도 용인기흥구 보라동 450 삼성래미안,경기도 용인시 기흥구 한보라1로64번길 22,6,370,373,179,194,37.2523193909809,127.106806385425
98,용인시,기흥구,신갈동,A44659803,인성마을현대,아파트,경기도 용인기흥구 신갈동 151-1 인성마을현대,경기도 용인시 기흥구 용구대로 2242,2,293,215,166,49,37.2866334673516,127.108090705262
99,용인시,기흥구,마북동,A44693706,연원마을현대,아파트,경기도 용인기흥구 마북동 550-4 연원마을현대,경기도 용인시 기흥구 연원로 60,8,424,765,217,548,37.3027099080142,127.112107839272
100,용인시,기흥구,보정동,A44693909,연원마을성원아파트,아파트,경기도 용인기흥구 보정동 694 연원마을성원아파트,경기도 용인시 기흥구 연원로 49,16,691,1123,193,930,37.3032620270871,127.110613570424
101,용인시,기흥구,서천동,A44695902,서그내마을SK,아파트,경기도 용인기흥구 서천동 700 서그내마을SK,경기도 용인시 기흥구 예현로 15,8,807,1048,518,530,37.2444058449991,127.073035775145
102,용인시,수지구,풍덕천동,A44899102,신정마을우성,아파트,경기도 용인수지구 풍덕천동 1025 신정마을우성,경기도 용인시 수지구 정평로 41,5,443,482,290,192,37.3197733757524,127.085893402078
103,용인시,수지구,풍덕천동,A44897804,신정마을성지,아파트,경기도 용인수지구 풍덕천동 1021 신정마을성지,경기도 용인시 수지구 정평로 61,7,538,923,391,532,37.3218783140646,127.086341106584
104,용인시,기흥구,보정동,A44691301,죽전누리에뜰,주상복합,경기도 용인기흥구 보정동 1263 죽전누리에뜰,경기도 용인시 기흥구 죽전로 20,4,200,268,5,263,37.3199965224732,127.110385262396
105,용인시,기흥구,고매동,A44690101,매화마을 우남 퍼스트빌,아파트,경기도 용인기흥구 고매동 877 매화마을 우남 퍼스트빌,경기도 용인시 기흥구 고매로34번길 10,3,166,171,121,50,37.2299223038764,127.112152113636
106,용인시,기흥구,고매동,A44657603,우림홀인원,아파트,경기도 용인기흥구 고매동 880 우림홀인원,경기도 용인시 기흥구 고매로34번길 31,5,299,361,196,165,37.228669875383,127.115036410943
107,용인시,수지구,풍덕천동,A44875904,동보1차,아파트,경기도 용인수지구 풍덕천동 703 동보1차,경기도 용인시 수지구 풍덕천로 161,5,470,587,429,158,37.3262889185527,127.098505591896
108,용인시,수지구,풍덕천동,A44878407,수지푸르지오월드마크,주상복합,경기도 용인수지구 풍덕천동 1195 수지푸르지오월드마크,경기도 용인시 수지구 포은대로 467,2,198,258,0,258,37.3236036964448,127.100817588259
109,용인시,수지구,풍덕천동,A10025228,풍덕천동 한샘 더랜드마크,도시형 생활주택(주상복합),경기도 용인수지구 풍덕천동 82-9 풍덕천동 한샘 더랜드마크,경기도 용인시 수지구 포은대로 477,1,220,244,11,233,37.3240902915367,127.101826107888
110,용인시,수지구,상현동,A44813009,서원마을3단지아이파크,아파트,경기도 용인수지구 상현동 860 서원마을3단지아이파크,경기도 용인시 수지구 포은대로 219,6,438,709,240,469,37.3079232977462,127.080031399666
111,용인시,기흥구,보정동,A44677015,신촌마을포스홈타운1단지,아파트,경기도 용인기흥구 보정동 1282 신촌마을포스홈타운1단지,경기도 용인시 기흥구 용구대로2518번길 15,12,884,1654,604,1050,37.3129971148668,127.109314850062
112,용인시,기흥구,공세동,A44690201,불곡마을벽산블루밍,아파트,경기도 용인기흥구 공세동 663 불곡마을벽산블루밍,경기도 용인시 기흥구 고매로43번길 32-2,6,390,480,45,435,37.232501816743,127.11754493797
113,용인시,수지구,풍덕천동,A44878309,수지현대아파트,아파트,경기도 용인수지구 풍덕천동 700-1 수지현대아파트,경기도 용인시 수지구 수지로342번길 18,12,1168,871,785,86,37.326643947419,127.09359437228
114,용인시,수지구,상현동,A44813001,풍산,아파트,경기도 용인수지구 상현동 96-1 풍산,경기도 용인시 수지구 수지로78번길 20,4,438,333,231,102,37.3099961684187,127.079168951147
115,용인시,기흥구,상하동,A44677402,인정프린스4차,아파트,경기도 용인기흥구 상하동 137 인정프린스4차,경기도 용인시 기흥구 중부대로 820,3,367,238,184,54,37.2560378542011,127.142764338538
116,용인시,기흥구,동백동,A44691111,해든마을동문굿모닝힐,아파트,경기도 용인기흥구 동백동 689 해든마을동문굿모닝힐,경기도 용인시 기흥구 동백죽전대로 455-10,6,512,619,107,512,37.2797770784079,127.151431633723
117,용인시,기흥구,동백동,A44691107,동백동원로얄듀크,아파트,경기도 용인기흥구 동백동 683 동백동원로얄듀크,경기도 용인시 기흥구 동백죽전대로 455-17,7,477,750,60,690,37.279797933497,127.148411081312
118,용인시,기흥구,보정동,A44691302,신촌마을상록데시앙,아파트,경기도 용인기흥구 보정동 1283 신촌마을상록데시앙,경기도 용인시 기흥구 보정로 26,3,230,262,76,186,37.3134429658859,127.110651385835
119,용인시,기흥구,보정동,A44694013,동아솔레시티,아파트,경기도 용인기흥구 보정동 1162 동아솔레시티,경기도 용인시 기흥구 보정로 30,36,1701,3777,490,3287,37.31037251816,127.112270035886
120,용인시,수지구,신봉동,A44853602,한일유엔아이,아파트,경기도 용인수지구 신봉동 874 한일유엔아이,경기도 용인시 수지구 신봉1로48번길 29,4,296,303,25,278,37.3242608508507,127.080819660427
121,용인시,수지구,신봉동,A44853605,서홍한화꿈에그린,아파트,경기도 용인수지구 신봉동 880 서홍한화꿈에그린,경기도 용인시 수지구 신봉1로48번길 32,5,404,407,53,354,37.3234819167496,127.081855570927
122,용인시,수지구,신봉동,A44853601,서홍마을벽산블루밍,아파트,경기도 용인수지구 신봉동 876 서홍마을벽산블루밍,경기도 용인시 수지구 신봉1로48번길 45,4,246,248,63,185,37.3243410133616,127.083073893376
123,용인시,수지구,신봉동,A44815004,신봉마을자이3차,아파트,경기도 용인수지구 신봉동 912 신봉마을자이3차,경기도 용인시 수지구 신봉1로71번길 25,8,401,442,164,278,37.3209209251706,127.077827688844
124,용인시,기흥구,보라동,A44695410,민속마을쌍용,아파트,경기도 용인기흥구 보라동 553 민속마을쌍용,경기도 용인시 기흥구 사은로126번길 10,20,1596,2776,783,1993,37.2516865812303,127.117560419708
