아파트,cluster,군집별총합
용인 마북 신원아침도시 아파트,4,0.928836
청덕마을 광도와이드빌아파트,3,0.745736
해든마을 동문굿모닝힐아파트,2,1.095576
신동백 롯데캐슬에코1단지아파트,0,1.54255
하우스디동백카바나아파트,3,0.745736
신동백 서해그랑블1단지아파트,2,1.095576
신동백 서해그랑블2단지아파트,1,1.147635
신동백동도센트리움아파트,3,0.745736
어정마을 서희삼정그린뷰아파트,3,0.745736
진산마을삼성래미안6차아파트,5,1.38777
연원마을현대아이파크아파트,5,1.38777
행원마을동아솔레시티아파트,0,1.54255
솔뫼마을현대홈타운,5,1.38777
연원마을삼성명가타운아파트,2,1.095576
죽현마을 엘지자이,5,1.38777
죽현마을 아이파크,0,1.54255
죽현마을동원로얄듀크아파트,5,1.38777
신촌마을 포스홈타운1단지,5,1.38777
신촌마을 상록데시앙,4,0.928836
죽전자이2차,4,0.928836
신촌마을 포스홈타운2단지,5,1.38777
꿈에그린아파트,4,0.928836
죽전역샬레파인비스타,2,1.095576
연원마을성원상떼빌아파트,1,1.147635
대우아파트,3,0.745736
풍림아파트,3,0.745736
상하동 621,0,1.54255
강남마을한라비발디아파트,1,1.147635
강남마을주공8단지아파트,0,1.54255
수원동마을쌍용스윗닷홈아파트,3,0.745736
갈천마을신일유토빌아파트,1,1.147635
지석마을 그대가 크레던스,1,1.147635
삼익아파트,3,0.745736
신미주아파트,3,0.745736
신갈현대아파트,3,0.745736
도현마을현대아이파크아파트,1,1.147635
새릉골풍림아파트,2,1.095576
원대마을한신아파트,2,1.095576
기흥역롯데캐슬스카이,1,1.147635
이안 두드림기흥역,3,0.745736
녹원마을새천년그린빌1단지아파트,3,0.745736
녹원마을새천년그린빌2단지아파트,4,0.928836
산양마을대우푸르지오,4,0.928836
용인기흥우방아이유쉘,2,1.095576
신흥덕롯데캐슬레이시티,0,1.54255
양현마을풍림신안아파트,1,1.147635
기흥파크뷰,1,1.147635
청명호수마을 신안인스빌1단지,1,1.147635
두진아파트,3,0.745736
청현마을대명레이크빌,2,1.095576
청현마을태영데시앙아파트,3,0.745736
수지 푸르지오 월드마크,4,0.928836
래미안수지이스트파크,5,1.38777
수지파크푸르지오,4,0.928836
수지4차삼성아파트,1,1.147635
동문아파트,2,1.095576
1지구동부아파트,1,1.147635
토월마을보원아파트,1,1.147635
삼성래미안1차아파트,4,0.928836
건영아파트,4,0.928836
한성아파트,1,1.147635
현대아파트,0,1.54255
동보아파트,5,1.38777
풍덕천한샘더랜드마크,2,1.095576
동아.삼익.풍림아파트,0,1.54255
수지2차 삼성래미안,2,1.095576
신정마을극동임광아파트,5,1.38777
우성아파트,2,1.095576
진흥아파트,4,0.928836
신정마을상록아파트,1,1.147635
용인수지 신정마을1단지,1,1.147635
성동마을수지자이아파트,5,1.38777
버들치마을 경남아너스빌 1차,1,1.147635
버들치마을 경남아너스빌2차,4,0.928836
버들치마을 성복자이1차,5,1.38777
버들치마을 성복 힐스테이트 2차,5,1.38777
버들치마을 성복 힐스테이트 3차,5,1.38777
성복센트럴자이,5,1.38777
버들치마을 성복자이2차,5,1.38777
버들치마을 성복 힐스테이트 1차,5,1.38777
용인성복아이파크,4,0.928836
성복역 롯데캐슬 골드타운,0,1.54255
성동마을 강남빌리지,5,1.38777
성복역 롯데캐슬 클라시엘,5,1.38777
수지성복 효성해링턴코트,4,0.928836
성복역 롯데캐슬 파크나인,5,1.38777
신동아파밀리에아파트,1,1.147635
흥덕마을14단지 호반베르디움,2,1.095576
흥덕마을 13단지 경남아너스빌,2,1.095576
흥덕마을 11단지 경남아너스빌,4,0.928836
흥덕마을동원로얄듀크,1,1.147635
흥덕마을8단지 한국 아델리움,2,1.095576
흥덕우미린 레이크포레,1,1.147635
흥덕마을 힐스테이트,4,0.928836
광교레이크스위첸,2,1.095576
호반써밋 레이크파크,2,1.095576
우남퍼스트빌리젠트,5,1.38777
금화마을주공그린빌,1,1.147635
금화마을 대우현대아파트,2,1.095576
초당마을현진에버빌,2,1.095576
초당마을삼부르네상스아파트,2,1.095576
초당마을삼부르네상스아파트,2,1.095576
동백역 경남아너스빌 아파트,1,1.147635
어은목마을 벽산블루밍아파트,2,1.095576
참솔마을월드메르디앙,1,1.147635
성산마을서해그랑블,1,1.147635
백현마을상록롯데캐슬,2,1.095576
어은목마을한라비발디,4,0.928836
어은목마을대원칸타빌,2,1.095576
호수마을 자연앤 데시앙,3,0.745736
호수마을월드메르디앙,2,1.095576
호수마을휴먼시아,2,1.095576
백현마을서해그랑블,3,0.745736
백현마을경남아너스빌,2,1.095576
백현마을모아미래도,3,0.745736
백현마을한라비발디,3,0.745736
백현마을모아미래도,1,1.147635
호수마을계룡리슈빌,2,1.095576
호수마을동보노빌리티,2,1.095576
호수마을서해그랑블,2,1.095576
백현마을코아루아파트,2,1.095576
신성아파트,3,0.745736
용인명지대역동원로얄듀크,1,1.147635
우미린센트럴파크,0,1.54255
역북 신원아침도시,3,0.745736
역북지웰푸르지오,0,1.54255
한신아파트,2,1.095576
대지마을2차 현대홈타운,2,1.095576
대지마을 중앙하이츠빌,5,1.38777
대지마을 현대홈타운3차 2단지,4,0.928836
새터마을죽전힐스테이트,0,1.54255
내대지마을건영캐스빌,0,1.54255
새터마을 모아미래도,4,0.928836
성현마을광명샤인빌,3,0.745736
내대지마을주공아파트,4,0.928836
내대지마을진흥더블파크,4,0.928836
도담마을 휴먼빌 아파트,2,1.095576
용인죽전동부센트레빌,2,1.095576
죽전퍼스트하임,2,1.095576
현대아파트,1,1.147635
더 리버하임,2,1.095576
심곡마을 광교힐스테이트,5,1.38777
포레나 광교상현,1,1.147635
상현마을 현대성우2차아파트,4,0.928836
상현마을 금호베스트빌 1단지,5,1.38777
상현마을 금호베스트빌 2단지,4,0.928836
상현마을 금호베스트빌 3단지,2,1.095576
상현마을 동일스위트,4,0.928836
상현마을 금호베스트빌 4단지,4,0.928836
상현마을수지센트럴아이파크,1,1.147635
상현마을 성우5차아파트,2,1.095576
서원마을 현대홈타운아파트,4,0.928836
서원마을3단지 아이파크,2,1.095576
성복역금호베스트빌,1,1.147635
풍산아파트,2,1.095576
상현동 벽산블루밍아파트,1,1.147635
광교현대프레미오아파트,4,0.928836
신동백 두산위브더제니스,0,1.54255
성산마을신영지웰,1,1.147635
호수마을상록롯데캐슬,1,1.147635
백현마을동일하이빌,1,1.147635
