,지명,도로명�,위도,경도,활동지�,행정동,NUMPOINTS,chr_count,np_scaled,count * 활동지가중치,scaled_cnt*가중치,읍면동scaled,활동지시설최종수요지수
33,영덕동,경기도 용인시 기흥구 흥덕2로 115 (영덕동),37.2778448,127.0738103,공공기관,영덕1동,3661.607155931002,7,0.23797879317320159,0.4010527858722151,0.24741551805874346,0.44921551979837476,0.6966310378571182
308,손골성지,경기도 용인시 수지구 동천로437번길 67,37.3444106,127.0523825,관광지,동천동,0.0,0,0.0,0.0,0.0,0.6959891915655239,0.6959891915655239
436,용인초등학교,경기도 용인시 처인구 금학로367번길 14,37.23856867,127.2052126,학교,중앙동,1260.4612482108625,6,0.08192114389030891,0.06281740172900327,0.03875300344338613,0.6566810534337386,0.6954340568771248
168,중앙동,경기도 용인시 처인구 금령로78번길 7,37.23423574,127.205666,주차장,중앙동,884.2863333333333,8,0.05747241183024048,0.06215971099180518,0.03834726409884471,0.6566810534337386,0.6950283175325833
27,유림동,경기도 용인시 처인구 백옥대로 1315 (유방동),37.252856,127.2120516,공공기관,유림동,201.39956763111482,1,0.013089559859752594,0.022059127107910928,0.01360860852632608,0.6793057053182712,0.6929143138445972
412,용인이동초등학교,경기도 용인시 처인구 이동읍 백옥대로587번길 22,37.19084078,127.203512,학교,이동읍,7613.15,0,0.4948013733018551,0.3794153153474471,0.23406703584405564,0.45736949868470517,0.6914365345287607
277,기흥호수공원 (용인8경 중 제3경),경기도 용인시 기흥구 동탄기흥로 923,37.24081425,127.1004054,관광지,기흥동,2799.95,0,0.18197711921826434,0.1433442717776656,0.08843124524242708,0.6023377196500173,0.6907689648924443
343,문정중학교,경기도 용인시 수지구 포은대로 455,37.32272577,127.0990637,학교,풍덕천1동,6123.297743080929,4,0.3979714221330978,0.30516579131599425,0.18826138356837166,0.5022178073125627,0.6904791908809343
198,중앙동임시,처인구 금령로 90번길,37.23452777,127.2061849,주차장,중앙동,771.4224562653073,9,0.0501370511228551,0.05422609750541583,0.03345289817007073,0.6566810534337386,0.6901339516038093
417,태성고등학교,경기도 용인시 처인구 백옥대로 1059-2,37.22892007,127.2088544,학교,중앙동,1051.6905222604698,1,0.068352510419869,0.052412929096547094,0.032334327206319985,0.6566810534337386,0.6890153806400586
456,태성중학교,경기도 용인시 처인구 백옥대로 1059-2,37.22892007,127.2088324,학교,중앙동,1051.6905222604698,1,0.068352510419869,0.052412929096547094,0.032334327206319985,0.6566810534337386,0.6890153806400586
132,유림동,경기도 용인시 처인구 백옥대로 1315,37.25285779,127.21205,주차장,유림동,201.39956763111482,1,0.013089559859752594,0.014157110028642254,0.008733734898096918,0.6793057053182712,0.6880394402163681
356,이현중학교,경기도 용인시 수지구 진산로34번길 39,37.31528324,127.0968022,학교,풍덕천2동,7315.306,0,0.4754436015214859,0.3645717124781558,0.22490979314899026,0.46290549620522065,0.6878152893542109
154,중앙노외,경기도 용인시 처인구 금령로90번길 3-18,37.23506858,127.2072649,주차장,중앙동,711.1548199345203,9,0.04622007730490456,0.049989665576902924,0.030839379358490675,0.6566810534337386,0.6875204327922293
56,골드타워모드빌,경기도 용인시 처인구 금령로 71번길 8,37.23584478,127.204495,대규모점포,중앙동,630.241,8,0.04096124630555479,0.049875353595821015,0.0307688585716616,0.6566810534337386,0.6874499120054002
24,기흥동,경기도 용인시 기흥구 한일로9번길 9 (공세동),37.2429817,127.1027323,공공기관,기흥동,1255.386383874038,2,0.08159131328889144,0.13750142632947607,0.08482670567949387,0.6023377196500173,0.6871644253295112
